ver.list,fg.com,ml.com,wt.com,eig.com,fg.com.N,ml.com.N,wt.com.N,eig.com.N,time,max.event.size,min.event.size,mean.event.size,pati.n,pati.regular,pati.trad,pati.china,pati.labor,pati.gender,pati.envi,pati.land
台灣學生促進中國民主化促進會,1,5,2,6,53,48,38,48,44,18,6,12,2,2,2,2,0,0,0,0
共生音樂節籌備團隊,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
全國廢核行動平台,1,5,2,6,53,48,38,48,44,16,16,16,1,1,1,0,0,0,1,0
台灣人權促進會,1,5,2,6,53,48,38,48,44,20,4,12,4,2,4,3,0,0,0,1
要健康婆婆媽媽團,4,6,3,1,69,71,72,71,44,53,28,40.5,2,1,2,0,0,0,2,0
台灣生態學會,4,6,3,1,69,71,72,71,44,53,28,40.5,2,1,2,0,0,0,2,0
台灣高等教育產業工會,2,4,4,7,72,71,74,71,44,49,3,25,5,2,5,0,5,0,0,0
還我原住民族狩獵權自救會,5,1,6,2,1,1,1,1,44,1,1,1,1,0,1,0,0,0,0,0
2016工鬥,2,4,4,7,72,71,74,71,44,27,3,19,3,1,3,0,3,0,0,0
經濟民主連合,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
地球公民基金會,1,6,3,1,53,71,72,71,44,53,1,20.4,5,3,5,1,0,0,4,1
機場捷運A7站自救會,2,4,4,7,72,71,74,71,44,49,4,26.5,2,1,2,0,1,0,0,1
桃園市空服員職業工會,6,2,7,3,1,1,1,1,44,1,1,1,1,0,1,0,1,0,0,0
台灣基地協會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
人民民主陣線,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
台北市行無礙資源推廣協會,3,3,1,5,37,41,37,12,44,13,13,13,1,1,1,0,0,0,0,0
全國產業總工會,2,4,4,7,72,71,74,71,44,19,19,19,1,1,1,0,1,0,0,0
華人民主書院,1,5,2,6,53,48,38,48,44,20,6,14.667,3,2,3,3,0,0,0,0
台灣二二八關懷總會,4,6,3,1,69,71,72,71,44,53,13,33,2,2,2,0,0,0,1,0
綠色公民行動聯盟,2,4,4,7,72,71,74,71,44,49,16,32.5,2,2,2,0,1,0,1,0
在台藏人福利協會,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
金煙囪文化協進會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
主婦聯盟環境保護基金會,1,6,3,1,53,71,72,71,44,53,12,28.25,4,2,4,1,0,0,3,0
台灣大學工會,2,4,4,7,72,71,74,71,44,19,3,11,2,1,2,0,2,0,0,0
全國關廠工人連線,2,4,4,7,72,71,74,71,44,49,19,30.5,4,2,4,0,4,0,0,0
台灣守護民主平台,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
反南鐵東移自救會,2,4,4,7,72,71,74,71,44,49,4,26.5,2,1,2,0,1,0,0,1
台灣水資源保育聯盟,4,6,3,1,69,71,72,71,44,28,12,20,2,1,2,0,0,0,2,0
同志諮詢熱線,2,3,4,4,72,41,74,29,44,49,33,41,2,2,2,0,1,1,0,0
三鶯部落自救會,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
台灣移工聯盟,2,4,4,7,72,71,74,71,44,49,3,26,2,2,2,0,2,0,0,0
台北市新活力自立生活協會,3,3,1,5,37,41,37,12,44,13,13,13,1,1,1,0,0,0,0,0
全國金融業工會聯合總會,2,4,4,7,72,71,74,71,44,19,19,19,1,1,1,0,1,0,0,0
台灣關懷中國人權聯盟,1,5,2,6,53,48,38,48,44,18,6,12,2,2,2,2,0,0,0,0
台灣北社,1,5,2,6,53,48,38,48,44,18,13,15.667,3,3,3,1,0,0,1,0
藏青會台灣分會,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
反國道七號自救會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
親子共學促進會,4,3,4,5,69,41,74,12,44,33,28,30.5,2,1,2,0,0,1,1,0
政大學生勞動權益促進會,2,4,4,7,72,71,74,71,44,3,3,3,1,0,1,0,1,0,0,0
國道收費員自救會,2,4,4,7,72,71,74,71,44,49,27,34.333,3,1,3,0,3,0,0,0
台南市環境保護聯盟,4,6,3,1,69,71,72,71,44,28,12,20,2,1,2,0,0,0,2,0
性別弱勢性保護與兒少保護連線,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
工人國際委員會,2,3,4,4,72,41,74,29,44,49,33,41,2,2,2,0,1,1,0,0
台灣酷兒權益推動聯盟,3,3,1,5,37,41,37,12,44,33,13,23,2,2,2,0,0,1,0,0
全國教師工會總聯合會,2,4,4,7,72,71,74,71,44,49,19,34,2,2,2,0,2,0,0,0
劉曉波之友會,1,5,2,6,53,48,38,48,44,6,6,6,1,1,1,1,0,0,0,0
台灣教授協會,1,5,2,6,53,48,38,48,44,20,13,16.333,3,2,3,1,0,0,1,0
台灣蠻野心足生態協會,1,5,2,6,53,48,38,48,44,16,16,16,1,1,1,0,0,0,1,0
西藏台灣人權連線,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
反馬頭山事業廢棄物掩埋場自救會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
台灣護樹團體聯盟,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
綠黨,4,6,3,1,69,71,72,71,44,53,4,24.333,3,2,3,0,0,0,2,1
洪雅書房,4,6,3,1,69,71,72,71,44,53,12,32.5,2,2,2,0,0,0,2,0
台灣醫學生聯合會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
工作傷害受害人協會,2,4,4,7,72,71,74,71,44,49,16,30.4,5,3,5,0,3,1,1,0
島國前進,1,6,3,6,53,71,72,48,44,53,13,28.667,3,2,3,1,0,0,1,0
台灣鐵路工會,2,4,4,7,72,71,74,71,44,19,19,19,1,1,1,0,1,0,0,0
獨立青年陣線,1,5,2,6,53,48,38,48,44,6,6,6,1,1,1,1,0,0,0,0
社會民主黨,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
媽媽監督核電廠聯盟,1,5,2,6,53,48,38,48,44,16,16,16,1,1,1,0,0,0,1,0
高雄健康空氣行動聯盟,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
台中市原鄉文化協會,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
消防員工作權益促進會,2,4,4,7,72,71,74,71,44,49,27,34.333,3,1,3,0,3,0,0,0
台灣勞工陣線,1,5,2,7,53,48,38,71,44,20,18,19,3,2,3,2,1,0,0,0
台灣永續聯盟,4,6,3,1,69,71,72,71,44,12,12,12,1,1,1,0,0,0,1,0
同志父母愛心協會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
中央大學性／別研究室,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
台南市夢城自立生活協會,3,3,1,5,37,41,37,12,44,13,13,13,1,1,1,0,0,0,0,0
大高雄總工會,2,4,4,7,72,71,74,71,44,27,19,24.333,3,1,3,0,3,0,0,0
台灣國家聯盟,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
台灣自由圖博學生聯盟,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
桃園在地聯盟,2,4,3,1,72,71,72,71,44,53,49,51,2,2,2,0,1,0,1,0
醫師勞動條件改革小組,2,4,4,7,72,71,74,71,44,49,27,34.333,3,1,3,0,3,0,0,0
台灣農村陣線,1,4,4,7,53,71,74,71,44,49,20,34.5,2,1,2,1,1,0,0,0
雲林縣耘林藝術人文生態關懷協會,4,6,3,1,69,71,72,71,44,53,12,32.5,2,2,2,0,0,0,2,0
真光福音教會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
台灣八福無障礙生活發展協會,3,3,1,5,37,41,37,12,44,13,13,13,1,1,1,0,0,0,0,0
高雄市產業總工會,2,4,4,7,72,71,74,71,44,19,19,19,1,1,1,0,1,0,0,0
台灣獨立建國聯盟,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
台灣圖博之友會,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
彰化縣醫療界聯盟,4,6,3,1,69,71,72,71,44,53,12,31,3,2,3,0,0,0,3,0
獅潭森林大學,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
台灣基層護理產業工會,2,4,4,7,72,71,74,71,44,49,27,34.333,3,1,3,0,3,0,0,0
台灣性別平等教育協會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
天主教希望職工中心,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
中華民國聾人協會,3,3,1,5,37,41,37,12,44,33,13,23,2,2,2,0,0,1,0,0
雲林縣產業總工會,2,4,4,7,72,71,74,71,44,19,19,19,1,1,1,0,1,0,0,0
悠遊卡股份有限公司,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
宜蘭人文基金會,1,5,2,6,53,48,38,48,44,16,16,16,1,1,1,0,0,0,1,0
台灣護樹協會,4,6,3,1,69,71,72,71,44,53,12,31,3,2,3,0,0,0,3,0
爭好氣聯盟,4,6,3,1,69,71,72,71,44,28,12,20,2,1,2,0,0,0,2,0
殘酷兒,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
天主教會新竹教區越南外勞配偶辦公室,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
台灣障礙者權益促進會,3,3,1,5,37,41,37,12,44,13,13,13,1,1,1,0,0,0,0,0
桃園市總工會,2,4,4,7,72,71,74,71,44,19,19,19,1,1,1,0,1,0,0,0
台北建成扶輪社,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
主婦聯盟生活消費合作社,1,5,2,6,53,48,38,48,44,16,16,16,1,1,1,0,0,0,1,0
廢除死刑推動聯盟,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
淡水史田野工作室,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
南投生活願景工作室,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
宜蘭縣產業總工會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
台灣少年權益與福利促進聯盟,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
手天使,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
天主教會新竹教區外籍牧靈中心,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
台灣綠色酷兒協會,3,3,1,5,37,41,37,12,44,13,13,13,1,1,1,0,0,0,0,0
台灣電子電機資訊產業工會,2,4,4,7,72,71,74,71,44,49,19,34,2,2,2,0,2,0,0,0
台北二二八紀念館,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
台灣環境保護聯盟,4,6,3,1,69,71,72,71,44,53,16,34.5,2,2,2,0,0,0,2,0
人權公約施行監督聯盟,1,5,2,6,53,48,38,48,44,20,13,17,3,2,3,2,0,0,0,0
彰化縣環境保護聯盟,4,6,3,1,69,71,72,71,44,53,12,31,3,2,3,0,0,0,3,0
台北市產業總工會,2,4,4,7,72,71,74,71,44,49,27,34.333,3,1,3,0,3,0,0,0
台灣原住民族部落行動聯盟,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
日日春關懷互助協會,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
人民民主陣線異於常人算障團,3,3,1,5,37,41,37,12,44,13,13,13,1,1,1,0,0,0,0,0
台北市政府文化局,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
哲學星期五台中,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
西海岸保育聯盟,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
桃園市產業總工會,2,4,4,7,72,71,74,71,44,49,27,34.333,3,1,3,0,3,0,0,0
黑色島國青年陣線,1,4,4,7,53,71,74,71,44,49,20,34.5,2,1,2,1,1,0,0,0
台中同志遊行聯盟,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
世新大學社會發展所,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
台灣伴侶權益推動聯盟,3,3,1,5,37,41,37,12,44,13,13,13,1,1,1,0,0,0,0,0
二二八國家紀念館,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
爸爸非核陣線,1,5,2,6,53,48,38,48,44,16,16,16,1,1,1,0,0,0,1,0
民間司法改革基金會,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
高雄市台語詩經教育協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
高雄市護樹護地協會,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
新竹縣產業總工會,2,4,4,7,72,71,74,71,44,49,27,34.333,3,1,3,0,3,0,0,0
民主鬥陣,1,5,2,6,53,48,38,48,44,20,18,19,2,1,2,2,0,0,0,0
台灣同志家庭權益促進會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
青年勞動九五聯盟,2,4,4,7,72,71,74,71,44,49,19,34,2,2,2,0,2,0,0,0
二二八事件紀念基金會,1,5,5,6,53,48,10,48,44,13,13,13,1,1,1,0,0,0,0,0
北海岸反核行動聯盟,1,5,2,6,53,48,38,48,44,16,16,16,1,1,1,0,0,0,1,0
虎尾厝沙龍,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
苗栗縣產業總工會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
反教育商品化聯盟,2,4,4,7,72,71,74,71,44,19,19,19,1,1,1,0,1,0,0,0
台灣環境資訊協會,4,6,3,1,69,71,72,71,44,28,16,22,2,1,2,0,0,0,2,0
好處工作室,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
高雄市鳳鼻頭文化工作協進會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
台南市產業總工會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
臺左維新,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
國際特赦組織台灣分會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
台灣TG蝶園,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
鹽寮反核自救會,1,5,2,6,53,48,38,48,44,16,16,16,1,1,1,0,0,0,1,0
高雄市古聖樂推廣協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
新高市產業總工會,2,4,4,7,72,71,74,71,44,27,27,27,1,0,1,0,1,0,0,0
永社,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
新北市產業總工會,2,4,4,7,72,71,74,71,44,27,27,27,1,0,1,0,1,0,0,0
高雄市環境保護協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
雲林淺海養殖協會,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
全國自主勞工聯盟,2,4,4,7,72,71,74,71,44,49,27,34.333,3,1,3,0,3,0,0,0
婦女新知基金會,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
樹黨,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
台灣性別人權協會,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
新海瓦斯工會,2,4,4,7,72,71,74,71,44,49,19,34,2,2,2,0,2,0,0,0
高雄市人權學堂,1,5,2,6,53,48,38,48,44,18,18,18,1,1,1,1,0,0,0,0
高雄市鳳鼻頭歌友會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
屏東縣環境保護聯盟,4,6,3,1,69,71,72,71,44,53,28,40.5,2,1,2,0,0,0,2,0
中華電信工會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
人本教育基金會,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
同志人權法案遊說聯盟,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
非典勞動工作坊,2,4,4,7,72,71,74,71,44,27,19,24.333,3,1,3,0,3,0,0,0
朝鳳寺管理委員會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
台塑關係企業工會全國聯合會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
同光同志長老教會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
台灣國際家庭互助協會,2,3,4,4,72,41,74,29,44,49,33,41,2,2,2,0,1,1,0,0
勞動人權協會,2,4,4,7,72,71,74,71,44,19,19,19,1,1,1,0,1,0,0,0
高雄市鳳鼻頭郡健行協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
文化元年,1,5,2,6,53,48,38,48,44,20,20,20,1,0,1,1,0,0,0,0
貧窮同志參政團,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
高雄市鳳興環保促進會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
基督長老教會勞工關懷中心,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
高雄市鳳興發社區展協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
埔里pm2.5空污減量自救會,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
台北市環保局工會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
異於常人算障團,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
高雄市沿海敬老協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
臺中市海線社區大學,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
環保局工會市縣聯合會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
高雄市漁民港務促進會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
雲林爸媽要乾淨呼吸聯盟,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
民主進步黨,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
台灣都市更新受害者聯盟,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
高雄市鳳林環保關懷協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
雲林縣環境保護聯盟,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
中央健保署工會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
自由台灣黨,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
警察工會推動會,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
高雄市小港活力社區發展協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
屏東縣左岸高屏溪協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
大台中南屯文山環境保護自救會,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
全國關懷基層老人社福連線協會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
bitheway拜訪,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
反文山工業區自救會,4,6,3,1,69,71,72,71,44,28,28,28,1,0,1,0,0,0,1,0
老年勞工關懷互助協會,2,4,4,7,72,71,74,71,44,27,27,27,2,0,2,0,2,0,0,0
海洋臺灣文教基金會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
荒野保護協會,4,6,3,1,69,71,72,71,44,53,28,40.5,2,1,2,0,0,0,2,0
澳門彩虹,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
全國教育產業總工會,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
澳門性別教育協會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
台北市二二八公義關懷協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
高雄市綠色協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
熊學會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
南方水盟,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
彰化縣諮商心理師公會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
非典型勞動工作坊,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
台灣女性學會,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
南洋台灣姊妹會,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
水男孩,3,3,1,4,37,41,37,29,44,33,33,33,1,1,1,0,0,1,0,0
看守台灣協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
桃園市教育產業工會,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
台南市社區大學研究發展學會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
台南市東山區嶺南社區發展協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
高雄市教育產業工會,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
龜重溪保護協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
媒體改造學社,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
彰化縣幸福媽媽協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
OURs專業者都市改革組織,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
大肚山學會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
噪音管制關懷者聯盟,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
黑手那卡西,2,4,4,7,72,71,74,71,44,49,49,49,1,1,1,0,1,0,0,0
七股鄉鹽埕村氣象雷達電磁波受害者自救會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
台灣圖書室文化協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
反西港外環道不當開闢自救會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
雲林縣淺海養殖協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
嘉義市洪雅文化協會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
高雄市美濃愛鄉協進會,4,6,3,1,69,71,72,71,44,53,53,53,1,1,1,0,0,0,1,0
台灣健康空氣行動聯盟,4,6,3,1,69,72,71,71,45,53,12,31,3,2,3,0,0,0,3,0
台灣同志遊行聯盟,3,4,1,4,37,41,37,29,45,33,33,33,1,1,1,0,0,1,0,0
人民火大行動聯盟,2,2,4,7,72,70,75,71,45,49,49,49,1,1,1,0,1,0,0,0
台灣國際勞工協會,2,2,4,7,72,70,75,71,45,49,3,26.5,4,2,4,0,4,0,0,0
千障權益行動聯盟,3,4,1,5,37,41,37,12,45,13,13,13,1,1,1,0,0,0,0,0
團結工聯,2,2,4,7,72,70,75,71,45,49,19,30.5,4,2,4,0,4,0,0,0
台灣學生促進中國民主化促進會,1,5,2,6,53,48,38,48,45,18,6,12,2,2,2,2,0,0,0,0
共生音樂節籌備團隊,1,5,5,6,53,48,10,48,45,13,13,13,1,1,1,0,0,0,0,0
全國廢核行動平台,1,5,2,6,53,48,38,48,45,16,16,16,1,1,1,0,0,0,1,0
台灣人權促進會,1,5,2,6,53,48,38,48,45,20,6,14.667,3,2,3,3,0,0,0,0
要健康婆婆媽媽團,4,6,3,1,69,72,71,71,45,53,28,40.5,2,1,2,0,0,0,2,0
台灣生態學會,4,6,3,1,69,72,71,71,45,53,28,40.5,2,1,2,0,0,0,2,0
台灣高等教育產業工會,2,2,4,7,72,70,75,71,45,49,3,25,5,2,5,0,5,0,0,0
還我原住民族狩獵權自救會,5,1,6,2,1,1,1,1,45,1,1,1,1,0,1,0,0,0,0,0
2016工鬥,2,2,4,7,72,70,75,71,45,27,3,19,3,1,3,0,3,0,0,0
經濟民主連合,1,5,2,6,53,48,38,48,45,20,20,20,1,0,1,1,0,0,0,0
地球公民基金會,1,6,3,1,53,72,71,71,45,53,1,20.4,5,3,5,1,0,0,4,1
桃園市空服員職業工會,6,3,7,3,1,1,1,1,45,1,1,1,1,0,1,0,1,0,0,0
台灣基地協會,3,4,1,4,37,41,37,29,45,33,33,33,1,1,1,0,0,1,0,0
人民民主陣線,2,2,4,7,72,70,75,71,45,49,49,49,1,1,1,0,1,0,0,0
台北市行無礙資源推廣協會,3,4,1,5,37,41,37,12,45,13,13,13,1,1,1,0,0,0,0,0
全國產業總工會,2,2,4,7,72,70,75,71,45,19,19,19,1,1,1,0,1,0,0,0
華人民主書院,1,5,2,6,53,48,38,48,45,20,6,14.667,3,2,3,3,0,0,0,0
台灣二二八關懷總會,4,6,3,1,69,72,71,71,45,53,13,33,2,2,2,0,0,0,1,0
綠色公民行動聯盟,2,2,4,7,72,70,75,71,45,49,16,32.5,2,2,2,0,1,0,1,0
在台藏人福利協會,1,5,2,6,53,48,38,48,45,18,18,18,1,1,1,1,0,0,0,0
金煙囪文化協進會,4,6,3,1,69,72,71,71,45,53,53,53,1,1,1,0,0,0,1,0
主婦聯盟環境保護基金會,1,6,3,1,53,72,71,71,45,53,12,28.25,4,2,4,1,0,0,3,0
台灣大學工會,2,2,4,7,72,70,75,71,45,19,3,11,2,1,2,0,2,0,0,0
全國關廠工人連線,2,2,4,7,72,70,75,71,45,49,19,30.5,4,2,4,0,4,0,0,0
台灣守護民主平台,1,5,2,6,53,48,38,48,45,20,20,20,1,0,1,1,0,0,0,0
台灣水資源保育聯盟,4,6,3,1,69,72,71,71,45,28,12,20,2,1,2,0,0,0,2,0
同志諮詢熱線,2,4,4,4,72,41,75,29,45,49,33,41,2,2,2,0,1,1,0,0
三鶯部落自救會,2,2,4,7,72,70,75,71,45,49,49,49,1,1,1,0,1,0,0,0
台灣移工聯盟,2,2,4,7,72,70,75,71,45,49,3,26,2,2,2,0,2,0,0,0
台北市新活力自立生活協會,3,4,1,5,37,41,37,12,45,13,13,13,1,1,1,0,0,0,0,0
全國金融業工會聯合總會,2,2,4,7,72,70,75,71,45,19,19,19,1,1,1,0,1,0,0,0
台灣關懷中國人權聯盟,1,5,2,6,53,48,38,48,45,18,6,12,2,2,2,2,0,0,0,0
台灣北社,1,5,2,6,53,48,38,48,45,18,13,15.667,3,3,3,1,0,0,1,0
藏青會台灣分會,1,5,2,6,53,48,38,48,45,18,18,18,1,1,1,1,0,0,0,0
反國道七號自救會,4,6,3,1,69,72,71,71,45,53,53,53,1,1,1,0,0,0,1,0
